session,is_bot,prolific_id,id_in_session,idx,round_number,multiplier,disclose,contribution,rt1,rt2,reward,payoff,total,individual_share,opp_multiplier,opp_disclose,opp_p_disclose,opp_contribution,opp_payoff,total_contribution
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,47,2.5,1,3,916,2761,23.0,23.0,833.0,16.0,2.5,0,0.5,10,16.0,32.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,48,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,48,1.5,1,0,2974,5396,10.0,10.0,810.0,0.0,1.5,0,0.25,0,10.0,0.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,48,2.5,1,10,4169,4271,25.0,25.0,864.0,25.0,2.5,1,1.0,10,25.0,50.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,48,2.5,1,10,1027,2928,20.0,20.0,853.0,20.0,1.5,0,0.5,10,20.0,40.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,49,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,49,1.5,1,2,3583,3834,10.0,10.0,820.0,2.0,1.5,1,0.75,0,12.0,3.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,49,2.5,1,1,3297,6647,18.0,18.0,882.0,9.0,1.5,1,0.75,10,9.0,17.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,49,2.5,1,7,1527,3299,12.0,12.0,865.0,9.0,1.5,1,0.25,0,19.0,17.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,50,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,50,1.5,1,10,4632,9384,20.0,20.0,840.0,20.0,2.5,1,0.75,10,20.0,40.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,50,2.5,1,1,2540,7780,18.0,18.0,900.0,9.0,1.5,1,0.75,10,9.0,17.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,50,2.5,1,10,1274,3896,25.0,25.0,890.0,25.0,2.5,1,0.25,10,25.0,50.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,51,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,51,1.5,1,0,4046,6315,10.0,10.0,850.0,0.0,1.5,1,0.75,0,10.0,0.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,51,2.5,1,1,3777,4590,18.0,18.0,918.0,9.0,1.5,1,0.75,10,9.0,17.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,51,2.5,1,10,1439,3243,25.0,25.0,915.0,25.0,2.5,1,0.25,10,25.0,50.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,52,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,52,1.5,1,2,3584,4426,22.0,22.0,872.0,14.0,2.5,1,0.75,10,14.0,28.0
