session,is_bot,prolific_id,id_in_session,id_in_group,multiplier,disclose,contribution,rt1,rt2,payoff,total,round_number,individual_share,total_contribution,group_id,disclosure_group
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,10,2833,2603,25.0,72.5,3,25.0,50.0,1128,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,1,2.5,0,7,-1,-1,19.25,61.5,3,16.25,32.5,1123,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,1,2.5,1,10,8018,8554,17.75,52.75,3,17.75,35.5,1119,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,1,1.5,0,8,11889,8081,11.75,43.0,3,9.75,19.5,1129,1
7z3ijibl,1,60185125a263080a4243e740,25,2,2.5,1,6,3176,6498,20.25,57.75,3,16.25,32.5,1124,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,2,1.5,0,7,-1,-1,20.75,51.0,3,17.75,35.5,1119,1
7z3ijibl,0,5cd7e678df739100011b1839,27,1,2.5,1,8,11400,9636,19.5,58.75,3,17.5,35.0,1117,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,1,1.5,1,2,5486,7272,14.75,45.0,3,6.75,13.5,1130,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,2,1.5,1,7,2700,7153,8.25,39.5,3,5.25,10.5,1131,1
7z3ijibl,1,607c788174ef9ae298722d37,30,2,1.5,1,7,-1,-1,15.75,36.0,3,12.75,25.5,1132,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,1,2.5,1,9,1773,3216,19.75,62.75,3,18.75,37.5,1121,2
7z3ijibl,1,5f52237276d614488e847c1b,32,1,2.5,1,2,22701,7778,15.75,45.75,3,7.75,15.5,1120,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,2,1.5,1,7,-1,-1,10.75,37.25,3,7.75,15.5,1120,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,1,1.5,1,10,2727,5864,12.75,41.0,3,12.75,25.5,1132,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,2,1.5,0,8,5747,9725,15.5,44.0,3,13.5,27.0,1133,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,2,1.5,1,10,6116,8866,7.5,40.0,3,7.5,15.0,1122,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,1,2.5,1,10,4125,5806,25.0,25.0,4,25.0,50.0,1144,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,2,2.5,1,10,6621,3841,25.0,25.0,4,25.0,50.0,1141,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,1,2.5,1,8,8387,7237,19.5,19.5,4,17.5,35.0,1145,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,2,2.5,1,10,5127,2307,25.0,25.0,4,25.0,50.0,1143,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,2,1.5,1,8,7436,11414,11.75,11.75,4,9.75,19.5,1149,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,2,1.5,1,10,11177,6760,7.5,7.5,4,7.5,15.0,1147,2
7z3ijibl,1,57843b986475d400015a8e45,7,2,1.5,1,10,4611,4004,20.0,20.0,4,20.0,40.0,1135,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,2,1.5,1,5,18246,7046,14.0,14.0,4,9.0,18.0,1151,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,2,1.5,1,7,9044,6291,17.0,17.0,4,14.0,28.0,1139,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,2,2.5,0,0,10762,8656,18.75,18.75,4,8.75,17.5,1146,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,10,7939,8050,25.0,25.0,4,25.0,50.0,1143,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,1,1.5,0,0,11939,9181,17.5,17.5,4,7.5,15.0,1147,1
